Row Labels,Count of Current Location,,,,
vanur,1,,,290,1
SINGAMPUNARI,1,,,291,1
vedaraniyam,1,,,292,1
"Ilayangudi,sivaganagi dis",1,,,293,1
Veeravanallur,1,,,294,1
india,1,,,295,1
vilathikulam,1,,,296,1
jayamkondam,1,,,297,1
villpuram,1,,,298,1
devakottai,1,,,299,1
"karaikudi,sivaganga dst",1,,,300,1
jeyankondam,1,,,301,1
Kaveripattanam,1,,,302,1
"sivakasi,virudhunagar dis",1,,,303,1
viluppuram,1,,,304,1
jolarpet,1,,,305,1
komarapalayam,1,,,306,1
virrudhachalam,1,,,307,1
sankarankovil,1,,,308,1
Karaikudi Near Trichy,1,,,309,1
Sathur,1,,,310,1
PERAMBALUR DT,1,,,311,1
chidambarampatti,1,,,312,1
Perambalur.,1,,,313,1
Wellington,1,,,314,1
neyveli township,1,,,315,1
Neyveli-TS,1,,,316,1
(blank),,,,317,1
Grand Total,45560,,,,
